%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1560469595023992382,33059,1560469594929181248,base_link,-0.00220789793253,0.00152787590092,-0.601455779811,-0.798901584645,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002230869286,-0.00173522555269,9.12789255381e-05,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0597564503551,-0.0162599235773,9.8184709549,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595024027915,33060,1560469594945181248,base_link,-0.0022162189305,0.00152326020362,-0.601448688604,-0.798906989979,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00106961396523,-0.00109862175304,-0.000347986002453,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0607060790062,0.0160884335637,9.81923007965,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595024073331,33061,1560469594969181248,base_link,-0.0022143826203,0.00152259766669,-0.601437035,-0.798915777597,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00119361840189,-0.00047144680866,-0.00191999110393,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.074584916234,0.0174241960049,9.78796768188,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595024161349,33062,1560469594985181248,base_link,-0.0022125982528,0.00151868924619,-0.601428658314,-0.798922131234,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000831895857118,5.98662518314e-05,-0.00184234220069,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0230845436454,0.00208865106106,9.78255462646,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595024195994,33063,1560469595007179200,base_link,-0.00221709430079,0.0015223318205,-0.601414981662,-0.798932351845,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000331182207447,-0.000147095081047,-0.00161302345805,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0636903494596,-0.018378727138,9.86385250092,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595033656145,33064,1560469595031179200,base_link,-0.00221528013415,0.00151531391748,-0.601399345181,-0.798944110816,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000944608589634,0.000811184116174,-0.00152813678142,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0470300093293,0.00957988202572,9.75847816467,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595051598605,33065,1560469595047179200,base_link,-0.00222561191546,0.00151400419593,-0.601388576661,-0.798952266231,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000549961230718,-0.000150265012053,-0.00203522644006,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0819550454617,-0.0166342929006,9.84483146667,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595073595040,33066,1560469595071179200,base_link,-0.00220994444191,0.00151901773643,-0.601371159476,-0.798965384437,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00279184896499,-0.000149232539115,-0.0020052138716,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0462123900652,0.0182668082416,9.77893066406,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595094181968,33067,1560469595091179200,base_link,-0.0022214942836,0.00152201876491,-0.601358157173,-0.798975099286,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000515330466442,-0.00269993953407,-0.00171578186564,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0547289177775,0.0128331296146,9.73264598846,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595113923925,33068,1560469595111176384,base_link,-0.00221572234679,0.00151645912638,-0.601347620461,-0.798983107187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0012865253957,-0.000141682394315,-0.00128048367333,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0810279846191,0.0092860609293,9.80658245087,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595131576937,33069,1560469595127176384,base_link,-0.00222288883392,0.00151835585804,-0.60133567183,-0.798992021246,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000329858972691,-0.000890650553629,-0.000754856853746,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0307688489556,0.030851136893,9.82812023163,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595150689450,33070,1560469595147176384,base_link,-0.00222294538643,0.00151802271683,-0.601325156191,-0.79899992378,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00136219023261,0.00123364722822,-0.00217403122224,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0305179730058,0.0140871591866,9.80743408203,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595170772733,33071,1560469595167176384,base_link,-0.0022271640637,0.00150843657254,-0.601310172986,-0.799011282355,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00190812512301,0.00049577257596,-0.00100551568903,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0293207839131,0.0396602898836,9.81141757965,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595190721680,33072,1560469595187176384,base_link,-0.00222392513602,0.00150312199489,-0.601294620799,-0.799022957032,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00146069319453,0.000911895360332,-0.00270579382777,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0496298521757,0.0091966688633,9.80143356323,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595211758821,33073,1560469595207174336,base_link,-0.00222711273839,0.00150520801694,-0.601281681717,-0.799032608661,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000633922638372,-0.000144088844536,-0.000984097598121,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0462689250708,0.0209977924824,9.79081726074,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595234063478,33074,1560469595231174336,base_link,-0.00222547576138,0.00150707252107,-0.601268152578,-0.799042850345,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00145624158904,-4.5495962695e-05,-0.00301606627181,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0557596534491,0.0100911557674,9.79071521759,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595253652219,33075,1560469595251174336,base_link,-0.00222569131123,0.00150556589472,-0.6012553294,-0.799052554657,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000538281165063,-0.00152677390724,-0.000341904815286,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0379170924425,0.0345824100077,9.84548187256,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595272032295,33076,1560469595267174336,base_link,-0.00223285672823,0.00149997999672,-0.60124449766,-0.799060520411,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00220814580098,0.000175131601281,-0.00174837000668,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0656896233559,0.0334703624249,9.81629180908,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560469595293807364,33077,1560469595291174336,base_link,-0.00223375909884,0.00149935388553,-0.601238238853,-0.799065261932,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000841232482344,0.000820926332381,0.000522261369042,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0264092087746,0.0348671600223,9.80685997009,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
