%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1560476569408162382,26056,1560476569334819584,base_link,-0.0133225246424,-0.000346749366689,-0.590614714754,-0.806843789462,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000741148949601,0.00260281912051,-0.00143592990935,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.13260127604,0.233537688851,9.78981208801,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569408218115,26057,1560476569354819584,base_link,-0.0133277021194,-0.00034930451938,-0.590599078273,-0.806855042671,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000632349518128,0.000151486776303,-0.00218772888184,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.162084430456,0.218004614115,9.82059288025,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569408300563,26058,1560476569374819584,base_link,-0.0133327511801,-0.000348825757522,-0.590587235008,-0.806863598481,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000325557164615,-0.000380678509828,-0.00164906226564,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.129894956946,0.252135038376,9.80739021301,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569408364712,26059,1560476569394819584,base_link,-0.013325403799,-0.000353779987856,-0.590577046008,-0.806871258671,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000201886155992,0.000480545277242,-0.00100938230753,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.141941338778,0.197215288877,9.84607219696,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569421332462,26060,1560476569418819584,base_link,-0.0133288532552,-0.000354501752637,-0.59056829,-0.806877485868,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00118455779739,0.000906987988856,-0.000602694926783,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.126399517059,0.207980215549,9.82112312317,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569437227059,26061,1560476569434817536,base_link,-0.0133324719572,-0.00035265716947,-0.590556067414,-0.806886505293,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000521267706063,0.000575601414312,-0.00229505891912,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.180963665247,0.226681679487,9.83829116821,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569460978264,26062,1560476569458817536,base_link,-0.0133215269475,-0.000354643339706,-0.590530579107,-0.806905250104,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000226706062676,0.00175634818152,-0.0016588405706,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.141328021884,0.203739374876,9.80627250671,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569479461102,26063,1560476569474817536,base_link,-0.0133257758767,-0.000349824110996,-0.590520369033,-0.806912678486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00107019813731,-0.00144420424476,-0.00133779691532,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.134031280875,0.166739732027,9.85386371613,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569497742431,26064,1560476569494817536,base_link,-0.0133335052136,-0.000354728291947,-0.590505227778,-0.806923605057,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000129596781335,0.000470864993986,-0.00260430620983,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.158814176917,0.224220305681,9.80174636841,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569518883889,26065,1560476569514817536,base_link,-0.0133271983328,-0.000359918281215,-0.590494490868,-0.806931644568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000745298806578,0.000155898102093,-0.00142608792521,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.175379633904,0.172326385975,9.8091211319,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569538237291,26066,1560476569535814208,base_link,-0.0133350765008,-0.000351971624637,-0.590482342039,-0.806940337356,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000748222926632,-0.000791172496974,-0.000904563814402,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.15127722919,0.219280809164,9.7908744812,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569558240242,26067,1560476569555814208,base_link,-0.0133314716281,-0.000352547192537,-0.590468981488,-0.806950157571,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000969199463725,0.00186072243378,-0.00195742514916,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.16472017765,0.202679157257,9.80592060089,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569579064743,26068,1560476569575814208,base_link,-0.0133281176609,-0.000350975246796,-0.590455030881,-0.806960483549,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00128877582029,-0.0015410464257,-0.000595346326008,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.135032296181,0.196442574263,9.78730773926,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569599238442,26069,1560476569595814208,base_link,-0.0133316237519,-0.000347275543751,-0.590442450047,-0.806969608342,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00148933962919,-0.000270544638624,-0.00145488372073,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.182173460722,0.204704463482,9.81682872772,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569618240851,26070,1560476569615814208,base_link,-0.0133360985618,-0.000346115846872,-0.590426307804,-0.806981367313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00201925844885,-0.000811124162283,-0.00220281397924,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.16406570375,0.198131859303,9.81752586365,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569636671947,26071,1560476569631812416,base_link,-0.0133396533851,-0.000345969649991,-0.590423589332,-0.806983327141,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000347921770299,0.0002684929932,0.000361599493772,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.138145104051,0.183590859175,9.76216220856,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569658436382,26072,1560476569655812416,base_link,-0.0133350784764,-0.000334610415773,-0.590398648935,-0.807001608337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000198011955945,-0.00123696075752,-0.00238863937557,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.179954499006,0.180794656277,9.79045772552,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569678858178,26073,1560476569675812416,base_link,-0.0133335256284,-0.000328503074006,-0.590387964709,-0.807009426577,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000728396873455,0.00122239394113,-0.000477592926472,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.147467076778,0.165531486273,9.77872467041,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569698394405,26074,1560476569695812416,base_link,-0.0133409816694,-0.000333832016165,-0.590365953517,-0.807025368623,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00145172420889,-0.000181798561243,-0.0045467778109,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.163942337036,0.225639924407,9.83696651459,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569719116299,26075,1560476569715812416,base_link,-0.0133447696174,-0.000329837285179,-0.590356322962,-0.807032386073,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000427861174103,-0.000698724063113,-0.00143624190241,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.136341929436,0.182419642806,9.83655738831,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569738566292,26076,1560476569735810112,base_link,-0.0133495941144,-0.000331324278678,-0.590347377294,-0.80703880293,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000210933343624,0.000901177641936,-0.00145266205072,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.150293037295,0.186174944043,9.8056344986,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569758544589,26077,1560476569755810112,base_link,-0.0133498278977,-0.000323959775445,-0.590333532054,-0.807049107835,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0011656107381,-0.00165503518656,-0.00156426860485,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.121922135353,0.195392251015,9.75366687775,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476569778676741,26078,1560476569775810112,base_link,-0.013358331683,-0.000322346999945,-0.590326609434,-0.807053838819,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00073681800859,-0.000373925169697,-0.00111758243293,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.151172444224,0.204663306475,9.7996006012,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
