%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1560476267733149728,10973,1560476267661896192,base_link,-0.00876399213639,-0.00351068348526,-0.591141813778,-0.806512420403,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-9.43377672229e-05,-0.000227789103519,0.00106160435826,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0575824566185,0.185121715069,9.80192184448,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267733174508,10974,1560476267681896192,base_link,-0.00877292414019,-0.0035014709415,-0.591145554311,-0.806509691394,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000851906253956,-1.99382775463e-05,0.000112853129394,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0558352954686,0.18850196898,9.81403541565,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267733205442,10975,1560476267701896192,base_link,-0.00876232684196,-0.00351093422608,-0.591148810155,-0.806507362781,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.001293922076,0.00114129146095,-0.00106539484113,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0274551957846,0.178336307406,9.79697227478,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267733260838,10976,1560476267721896192,base_link,-0.00875961495568,-0.0035124791715,-0.591152571761,-0.806504612699,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.50952972844e-06,-0.00044774019625,0.000634064548649,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0581501424313,0.158974200487,9.81026935577,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267744983779,10977,1560476267741894400,base_link,-0.00875996810017,-0.00350642961701,-0.59116074825,-0.806498543553,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000530798803084,-0.000548985146452,-4.94613777846e-06,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0359380543232,0.19451059401,9.78153610229,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267768424290,10978,1560476267765894400,base_link,-0.0087540922368,-0.00351137034718,-0.59116074825,-0.806498627847,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00276569765992,0.00136627280153,0.000241812726017,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0619936287403,0.178067281842,9.80557918549,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267784478168,10979,1560476267781894400,base_link,-0.00875441097234,-0.00351136244465,-0.591170916177,-0.806491157318,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.97259349888e-05,-0.000856558559462,0.00361885549501,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0626426935196,0.159301280975,9.79318714142,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267808447890,10980,1560476267805894400,base_link,-0.00876442562331,-0.003504859153,-0.591177111763,-0.806486563311,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00019688080647,-0.00172018515877,0.00128506193869,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.102182909846,0.147498428822,9.83425712585,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267824757629,10981,1560476267821894400,base_link,-0.00873821588117,-0.00351149563528,-0.591186710708,-0.806479830352,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00150764500722,0.00180458044633,1.35252485052e-05,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0236697383225,0.208558470011,9.76482486725,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1560476267845628624,10982,1560476267841892608,base_link,-0.00875407577319,-0.00349772991479,-0.591184245118,-0.806481537299,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00267351814546,-0.000126109574921,0.000917681434657,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.059341032058,0.162299484015,9.86276340485,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
